,종합.1,종합.2,생산,소비,정부,건설,설비,대외,수출,수입,노동,물가,심리,부동산,금융
GDP(불변),0.4327174092495977,0.4243549609688657,0.031759577398873806,,,,,,,,,,,,
민간소비(SA),0.39243455541876393,0.018399441303910802,,0.017237254337559516,,,,,,,,,,,
정부소비(SA),0.01954385969894279,0.004513480367185352,,,0.0025600293926706374,,,,,,,,,,
건설투자(SA),0.0022938176984311776,0.07325068332785867,,,,0.2637343087920091,,,,,,,,,
설비투자(SA),0.3515415005893572,0.010801082593485334,,,,,0.010596010619130847,,,,,,,,
국민계정_수출(SA),0.19206106206997597,0.045649872216980136,,,,,,0.05558252159030952,0.01359710017921889,,,,,,
국민계정_수입(SA),0.3342857381329727,0.0038628736447873235,,,,,,0.026475482117311877,,0.033054848311027785,,,,,
민간소비(불변),0.4522496737646551,0.3368513890654319,,0.007306573516459469,,,,,,,,,,,
정부소비(불변),0.010958668292526896,0.08676614815230599,,,9.98389035000713e-06,,,,,,,,,,
건설투자(불변),0.04112557780249815,0.03326181620453228,,,,0.7609278459158842,,,,,,,,,
설비투자(불변),0.299864044607679,0.322290175873574,,,,,0.010506832288611379,,,,,,,,
국민계정_수출(불변),0.12999319497081685,0.25767041775976707,,,,,,0.033580222448471475,0.053785198605773576,,,,,,
국민계정_수입(불변),0.347878120023446,0.4568101897510366,,,,,,0.0025303651978481057,,0.00658022137981229,,,,,
