update date,updated variable,observed,forecast (prev),news,weight,impact
2020-01,제조업출하지수(불변),-6.886227544910185,2.721790440258735,-9.608017985168921,0.028538058758417327,-0.2741941818126811
2020-01,제조업생산지수(불변),-4.61714239079427,3.7736676846740793,-8.39081007546835,0.01857926917052629,-0.15589511895089048
2020-01,제조업출하지수(SA),-4.0557801830527325,0.334953648689555,-4.390733831742288,0.027114948479149272,-0.11905452163334981
2020-02,제조업출하지수(SA),-4.304304304304324,0.5135022270937459,-4.8178065313980705,0.021564775638424745,-0.10389491691893674
2019-12,제조업출하지수(불변),5.669599217986303,1.3732606135308358,4.296338604455467,0.020818788341067568,0.08944456404771597
2020-01,제조업생산지수(SA),-3.6195366839755536,0.5882499647193371,-4.20778664869489,0.020841582271676814,-0.08769693162043782
2020-02,제조업생산지수(불변),10.010471456254606,5.228791966232166,4.78167949002244,0.017978200713322588,0.08596599361840142
2020-02,전산업업황실적BSI,-10.924663139281506,1.3072920009515878,-12.231955140233094,-0.006528653699389202,0.07985819917704555
2020-02,제조업생산지수(SA),-3.777335984095416,0.5287789428135693,-4.306114926908985,0.017745832916589478,-0.07641559601255876
2019-12,제조업생산지수(불변),7.303538694508632,1.796921542254179,5.506617152254452,0.013508634072284635,0.07438687608597148
2020-02,서비스업업황실적BSI,-11.180023674483536,1.3363700635811713,-12.516393738064707,-0.005041567198898592,0.06310224011832677
2020-03,(텍스트)정부지출,1.420532520537222,-0.20140880169656078,1.6219413222337826,-0.03339682726126988,-0.054167694166557305
2020-02,제조업업황실적BSI(SA),-12.987012987012989,1.5763088593781933,-14.563321846391183,-0.003510434070588652,0.05112358119051964
2020-02,제조업내수판매실적BSI,-8.517616454664108,1.3459516634810826,-9.863568118145192,0.004806056473882851,-0.04740486540979619
2020-03,콜금리,-18.690887958806783,0.5031605953202059,-19.194048554126987,0.002142682222531067,-0.041126746615326025
2019-12,제조업출하지수(SA),2.9615932283838333,0.8781791825067113,2.0834140458771215,0.019454532772700022,0.04053184683462001
2020-02,서비스업생산지수(SA),-3.5916824196597323,0.30534019122398043,-3.897022610883713,0.01039923192561026,-0.04052604194992696
2020-02,제조업신규수주실적BSI,-4.319692774651642,1.2492581089592176,-5.56895088361086,0.007185472631428204,-0.04001554415995375
2020-02,제조업가동률실적BSI,-5.076567562816052,1.3073138408354175,-6.383881403651469,0.006025687896333945,-0.03846727690561401
2020-02,제조업출하지수(불변),5.6257175660160925,4.143893688877731,1.4818238771383614,0.02478087667936954,0.03672089475991097
2020-01,서비스업생산지수(SA),2.618816682832218,0.44864006120557387,2.1701766216266445,0.016337604958224408,0.035455488333710164
2019-12,제조업생산지수(SA),2.833441705582146,0.5235700134097563,2.30987169217239,0.014876929123801697,0.03436379744952454
2020-01,(텍스트)반도체,0.5498856834829269,0.115443518118163,0.4344421653647639,-0.07292890654476059,-0.03168339207699029
2020-03,WTI선물,-0.1997761660780526,0.014145074027025877,-0.21392124010507846,0.139321125875608,-0.029803748020145796
2020-01,서비스업업황실적BSI,-2.080061535671092,2.423467239656704,-4.503528775327796,-0.0063370497860451595,0.02853908606213923
2020-03,(텍스트)경제불확실성지수,0.6924749379757884,-0.058477314724765625,0.7509522527005541,-0.03756950354878939,-0.028212903322804857
2020-03,CD금리,-12.88856804343132,0.44964550505482326,-13.338213548486143,0.0021067324667622105,-0.02810004753120335
2020-01,제조업재고지수(SA),3.536206949522253,0.3608453951884814,3.1753615543337714,0.008300800449737468,0.026358042618292835
2020-02,소매판매액지수(SA),-4.595404595404602,0.2889122630935227,-4.884316858498125,-0.005257458427612114,0.02567909283083889
2020-03,(텍스트)뉴스심리지수,-0.2445547202329692,0.07794240526716022,-0.32249712550012943,0.07157967645635975,-0.02308423990140531
2020-01,소매판매액지수(SA),-3.657362848893172,0.9948713873863786,-4.652234236279551,-0.004711332888208056,0.021918224161031334
2020-01,(텍스트)세계교역,2.2767668442272395,-0.12778751374899483,2.404554357976234,0.00896138978770944,0.02154814886756045
2020-02,제조업수출실적BSI,-11.156365478880332,1.376358041074972,-12.532723519955303,0.0016240412247676903,-0.02035365965502305
2020-03,(텍스트)반도체,0.6124841887847907,0.09109683245212555,0.5213873563326652,-0.03652158222414331,-0.01904189120493214
2019-12,제조업재고지수(SA),-2.8822915112636167,0.16648477773678994,-3.0487762890004064,0.006054643962483306,-0.01845925495115857
2020-01,제조업신규수주실적BSI,-0.0957579318232006,1.7423602156938183,-1.838118147517019,0.009990032853193283,-0.018362860681745797
2020-03,(텍스트)생산,-0.2411593982860864,0.23832689346789615,-0.47948629175398255,-0.03687132167466995,0.017679293301855737
2020-02,(텍스트)생산,0.00018731599233490215,0.22437557185227647,-0.22418825585994154,0.07780376579534831,-0.017442690552994515
2020-03,(텍스트)도소매,-0.8035102723494418,0.45881468806792286,-1.2623249604173645,0.013705364384678936,-0.017300623554395395
2019-12,GDP(불변),2.7,2.600332985782573,0.09966701421742687,0.1668116055283116,0.016625614659822034
2019-12,취업자,0.5764060340109296,0.10670060098821597,0.4697054330227136,0.03464303856653023,0.01627202343111465
2020-02,전산업매출실적BSI,-8.98895721293566,1.0166790176718528,-10.00563623060751,-0.0016181477942664437,0.01619059819678996
2020-02,(텍스트)정부지출,0.4332390115130238,-0.14336160114098562,0.5766006126540094,-0.02807647168398142,-0.016188910774146633
2020-02,생산자물가지수,-0.44775228707740666,0.11740716006606272,-0.5651594471434693,0.02856933124349146,-0.01614622745083028
2020-02,취업자,-0.26800621261254765,0.1268874628024501,-0.39489367541499776,0.040223819487469954,-0.015884131916636422
