M,Monthly Service Industry Survey - Wholesale and retail trade
200501,-2.4453024453024597
200502,-0.9589041095890423
200503,1.0113780025284598
200504,1.5625
200505,4.052287581699332
200506,1.9556714471968633
200507,1.3422818791946298
200508,4.038997214484681
200509,3.5294117647058982
200510,2.827763496143959
200511,5.0257731958762975
200512,4.283965728274168
200601,4.881266490765171
200602,1.3831258644536604
200603,4.005006257822259
200604,4.230769230769241
200605,4.396984924623126
200606,3.9641943734015257
200607,1.1920529801324449
200608,3.3467202141900856
200609,6.691919191919183
200610,2.499999999999986
200611,4.171779141104295
200612,4.10798122065728
200701,3.647798742138363
200702,9.140518417462488
200703,4.4524669073405505
200704,4.428044280442805
200705,5.535499398315295
200706,4.920049200492002
200707,7.853403141361241
200708,5.829015544041454
200709,3.6686390532544237
200710,10.731707317073159
200711,5.889281507656065
200712,3.8331454340473385
200801,5.946601941747559
200802,2.125
200803,3.917050691244242
200804,4.829210836277966
200805,2.6225769669327264
200806,1.758499413833519
200807,6.189320388349515
200808,3.7943696450428206
200809,0.0
200810,-2.7533039647577198
200811,-6.229143492769751
200812,-5.211726384364823
200901,-4.8109965635738945
200902,-4.283965728274168
200903,-4.988913525498901
200904,-4.382022471910119
200905,-3.666666666666657
200906,1.4976958525345623
200907,-1.4857142857142804
200908,-1.0613207547169594
200909,3.7671232876712395
200910,2.038505096262739
200911,5.338078291814938
200912,9.049255441008029
201001,4.933814681107123
201002,8.056265984654715
201003,7.584597432905497
201004,6.815511163337277
201005,6.343713956170703
201006,4.7673098751418905
201007,6.496519721577727
201008,5.72109654350416
201009,2.420242024202409
201010,4.55049944506105
201011,6.869369369369366
201012,3.3613445378151425
201101,8.715596330275233
201102,-0.23668639053255447
201103,4.446854663774388
201104,4.180418041804174
201105,5.422993492407798
201106,4.767063921993511
201107,2.8322440087145964
201108,4.735062006764366
201109,3.0075187969924997
201110,3.2908704883227102
201111,2.423603793466796
201112,2.3373983739837456
201201,1.2658227848101262
201202,4.982206405693958
201203,0.20768431983384517
201204,-0.6335797254487971
201205,1.3374485596707757
201206,-0.31023784901758233
201207,1.6949152542372872
201208,-0.9687836383207866
201209,1.2513034410844597
201210,-0.308324768756421
201211,2.057613168724288
201212,-0.49652432969215
201301,-2.2916666666666714
201302,0.45197740112993756
201303,1.450777202072544
201304,1.8065887353878765
201305,-0.20304568527919287
201306,-0.20746887966805616
201307,-0.625
201308,0.4347826086956559
201309,-1.4418125643666286
201310,1.9587628865979525
201311,0.20161290322579362
201312,-0.8982035928143688
201401,2.7718550106609996
201402,-0.6749156355455739
201403,0.10214504596525842
201404,-0.31315240083506524
201405,0.40691759918615844
201406,0.8316008316008379
201407,0.3144654088050203
201408,0.7575757575757365
201409,0.5224660397074246
201410,-1.112234580384225
201411,-1.8108651911468883
201412,2.6183282980866096
201501,-2.593360995850631
201502,2.8312570781426842
201503,2.3469387755101963
201504,4.6073298429319465
201505,0.2026342451874541
201506,-0.9278350515463956
201507,0.2089864158829613
201508,0.3222341568206417
201509,3.326403326403323
201510,6.237218813905926
201511,3.79098360655739
201512,1.8645731108930335
201601,3.0883919062832774
201602,0.6607929515418647
201603,3.4895314057826567
201604,2.6026026026025875
201605,3.6400404448938275
201606,5.20291363163372
201607,2.5026068821689194
201608,4.603854389721619
201609,-0.10060362173038584
201610,0.962463907603464
201611,2.073050345508392
201612,1.9267822736030809
201701,0.929752066115725
201702,0.0
201703,-0.0963391136801448
201704,0.19512195121950526
201705,-0.39024390243902474
201706,0.1978239366963379
201707,0.9155645981688849
201708,-0.4094165813715449
201709,6.847935548841889
201710,-4.3851286939942895
201711,2.901353965183759
201712,1.7013232514177616
201801,2.354145342886383
201802,3.3916849015317183
201803,3.8572806171649034
201804,1.6553067185978563
201805,2.644466209598434
201806,1.7769002961500462
201807,2.217741935483872
201808,2.261048304213759
201809,-4.618284637134778
201810,5.483549351944177
201811,0.5639097744360839
201812,0.0
201901,3.200000000000003
201902,-3.915343915343911
201903,-1.6713091922005532
201904,-0.8620689655172526
201905,1.2404580152671798
201906,-1.1639185257031954
201907,-0.5917159763313578
201908,1.306532663316574
201909,-0.29644268774703164
201910,-1.8903591682419574
201911,-0.280373831775691
201912,0.09293680297398055
202001,-1.1627906976744242
202002,1.1013215859030794
202003,-5.760151085930133
202004,-7.729468599033822
202005,-5.843543826578696
202006,-0.9813542688910672
202007,-2.5793650793650755
202008,-6.448412698412696
202009,2.675916749256672
202010,-1.4450867052023142
202011,-2.5304592314901555
202012,0.0
202101,-1.6666666666666714
202102,2.5054466230936896
202103,8.316633266533074
202104,9.947643979057588
202105,3.9039039039038954
202106,4.261645193260648
202107,6.008146639511196
202108,5.938494167550388
202109,0.868725868725889
202110,4.594330400782013
202111,4.807692307692307
202112,3.064066852367688
202201,4.586241276171492
202202,1.1689691817215788
202203,3.0527289546716077
202204,2.952380952380949
202205,5.684007707129098
202206,0.9505703422053102
202207,1.1527377521613857
202208,6.60660660660659
202209,2.679425837320565
202210,2.056074766355138
202211,0.09174311926605583
202212,1.171171171171153
202301,-0.19065776930411005
202302,7.773109243697476
202303,0.8078994614003392
202304,-3.700277520814069
202305,-1.6408386508659873
202306,2.071563088512235
202307,-1.614434947768288
202308,-4.319248826291073
202309,-1.3047530288909428
202310,-3.754578754578759
202311,0.2749770852429094
202312,-0.8904719501335734
202401,-0.1910219675262681
202402,-5.165692007797276
202403,-6.678539626001779
202404,-0.7684918347742524
202405,-1.575532900834105
202406,-3.6900369003689946
